https://www.webstaurantstore.com/taylor-te400-400-lb-digital-receiving-scale-with-remote-lcd-display/608TE400.html;Taylor TE400 400 lb. Digital Receiving Scale with Remote Display;$134.49;$131.55;077784004005; TE400
https://www.webstaurantstore.com/taylor-te22os-22-lb-digital-portion-control-scale-with-an-oversized-platform/608TE22OS.html;Taylor TE22OS 22 lb. Digital Portion Control Scale with an Oversized Platform;$96.99;$90.99;077784013236; TE22OS
https://www.webstaurantstore.com/taylor-1020nfs-11-lb-digital-portion-control-scale-for-dry-and-liquid-measuring/6081020NFS.html;Taylor 1020NFS 11 lb. Digital Portion Control Scale for Dry and Liquid Measuring;$21.99;$21.35;077784023174; 1020NFS
https://www.webstaurantstore.com/taylor-1476fda-digital-compact-folding-thermometer-1-5mm-stepdown-probe/6081476FDA.html;"Taylor 1476FDA 2 7/8"" Digital Compact Folding Probe Thermometer with Magnet";$9.99;$9.50;077784025314; 1476FDA
https://www.webstaurantstore.com/taylor-8750-dishwasher-thermometer-test-labels-24-pack/9138750.html;Taylor 8750 TempRite Single Use Dishwasher 180 Degrees F Test Label - 24/Pack;$11.49;$10.56;077784087503; 8750
https://www.webstaurantstore.com/taylor-te22ft-22-lb-digital-portion-control-scale/608TE22FT.html;Taylor TE22FT 22 lb. Digital Portion Control Scale;$72.99;$67.99;077784001226; TE22FT
https://www.webstaurantstore.com/taylor-8751-temprite-single-use-dishwasher-160-degrees-f-test-label-pack/9138751.html;Taylor 8751 TempRite Single Use Dishwasher 160 Degrees F Test Label - 24/Pack;$11.49;$11.04;077784087510; 8751
https://www.webstaurantstore.com/taylor-3516fs-4-3-4-instant-read-digital-pocket-probe-thermometer/6083516.html;"Taylor 3516FS 4 3/4"" Instant Read Digital Pocket Probe Thermometer";$7.99;$7.63;077784351604; 3516FS
https://www.webstaurantstore.com/taylor-5832-trutimer-mechanical-60-minute-timer/913UTL884.html;Taylor 5832 Mechanical 60 Minute Kitchen Timer;$4.29;$4.03;077784058329; 5832
https://www.webstaurantstore.com/taylor-5989nfs-5-instant-read-pocket-probe-dial-thermometer/9135989.html;"Taylor 5989NFS 5"" Instant Read Pocket Probe Dial Thermometer 0 to 220 degrees Fahrenheit";$4.29;$4.07;077784059890; 5989NFS
https://www.webstaurantstore.com/taylor-1443-digital-refrigerator-freezer-thermometer/9131443.html;Taylor 1443 Digital Refrigerator / Freezer Thermometer;$5.59;$5.36;077784014431; 1443
https://www.webstaurantstore.com/taylor-9840rb-4-5-8-digital-pocket-probe-thermometer-with-rubber-boot/9139840RB.html;"Taylor 9840RB 4 5/8"" Digital Pocket Probe Thermometer with Rubber Boot";$8.39;$8.02;00077784011270; 9840RB
https://www.webstaurantstore.com/taylor-te10csw-10-lb-water-resistant-digital-portion-control-scale-for-dry-and-liquid-measuring/608TE10CSW.html;Taylor TE10CSW 10 lb. Waterproof Digital Portion Control Scale for Dry and Liquid Measuring;$112.99;$110.39;077784017883; TE10CSW
https://www.webstaurantstore.com/taylor-9306n-splash-proof-dual-temp-infrared-thermometer-with-probe/9139306.html;Taylor 9306N Dual Temp HACCP Digital Infrared Thermometer with Folding Thermocouple Probe;;$84.99;00077784093061; 9306N
https://www.webstaurantstore.com/taylor-8766j-temprite-single-use-dishwasher-160-degree-f-test-strip-pack/9138766.html;Taylor 8766J TempRite Single Use Dishwasher 160 Degree F Test Strip - 25/Pack;$9.99;$9.73;077784087664; 8766J
https://www.webstaurantstore.com/taylor-9839-15-9-digital-candy-deep-fry-thermometer-with-pan-clip-and-adjustable-head/913983915.html;"Taylor 9839-15 9"" Swivel Head Digital Candy / Deep Fry Probe Thermometer";$11.49;$11.06;077784009963; 9839-15
https://www.webstaurantstore.com/taylor-te10r-10-lb-digital-portion-control-scale-with-hold-feature/608TE10R.html;Taylor TE10R 10 lb. Digital Portion Control Scale;$136.49;$131.04;00077784100004; TE-10R
https://www.webstaurantstore.com/taylor-te150-150-lb-digital-receiving-scale-with-remote-display/608TE150.html;Taylor TE150 150 lb. Digital Receiving Scale with Remote Display;$129.99;$127.19;077784001509; TE150
